ticker
AAPL
MSFT
NVDA
AMZN
META
GOOGL
GOOG
BRK.B
AVGO
TSLA
JPM
LLY
V
UNH
XOM
MA
COST
HD
PG
WMT
NFLX
JNJ
BAC
CRM
ABBV
ORCL
CVX
WFC
MRK
CSCO
ACN
PEP
KO
MCD
TMO
LIN
ABT
GE
IBM
PM
CAT
QCOM
TXN
DHR
DIS
AMGN
PFE
RTX
GS
